Country	Aglomerative_eucl_6	Aglomerative_eucl_7	Aglomerative_eucl_8	Aglomerative_eucl_9
Burkina Faso	2	3	7	2
Burundi	2	3	7	2
Thailand	2	3	7	2
Niger	2	3	7	2
Chad	2	3	7	2
Papua New Guinea	2	3	7	2
China	5	2	2	6
Yemen	2	3	7	2
Tunisia	5	2	2	6
Mongolia	2	3	7	2
Democratic Republic of Congo	2	3	7	2
Japan	5	2	2	6
Mali	2	3	7	2
Sri Lanka	2	3	7	2
Morocco	3	0	0	7
Cuba	2	3	7	2
Benin	2	3	7	2
Somalia	2	3	7	2
South Korea	5	2	2	6
Syria	3	0	0	7
Uruguay	2	0	7	2
South Sudan	2	3	7	2
Australia	5	2	2	6
Albania	3	0	0	7
Slovakia	5	2	2	6
Sierra Leone	2	3	7	2
Liberia	2	3	7	2
Mauritius	5	2	2	6
Nigeria	2	3	7	2
Malaysia	2	3	7	2
Sudan	2	3	7	2
New Zealand	5	2	2	6
Malawi	2	3	7	3
Rwanda	2	0	0	7
Hungary	2	3	7	2
Mozambique	3	0	0	7
Croatia	5	2	2	6
Zimbabwe	2	3	7	3
Comoros	2	3	3	3
Montenegro	5	2	2	6
Lithuania	5	2	2	6
Kenya	3	0	0	7
Angola	2	3	3	3
Nepal	3	0	0	7
Latvia	2	3	3	3
Madagascar	2	3	3	3
Slovenia	5	2	2	6
Bosnia and Herzegovina	3	0	0	7
Czechia	5	2	2	6
Cote d'Ivoire	2	3	3	3
Cameroon	2	3	3	3
Haiti	2	3	3	3
Togo	3	0	0	7
Senegal	2	3	3	3
Zambia	2	3	3	3
Ethiopia	2	3	3	3
Romania	3	0	0	7
Egypt	2	3	3	3
Saint Lucia	5	2	2	6
Afghanistan	2	3	3	3
Congo	2	3	3	3
Tajikistan	2	3	3	3
Algeria	3	0	0	7
Iran	3	0	0	7
Guinea	2	3	3	3
Central African Republic	2	3	3	3
Cyprus	5	2	2	6
Guinea-Bissau	2	3	3	3
Nicaragua	2	3	3	3
Moldova	3	6	6	5
Finland	0	5	5	0
Lesotho	2	3	3	3
Pakistan	2	3	3	3
Serbia	5	2	2	6
Estonia	5	2	2	6
Malta	0	5	5	0
Norway	0	5	5	0
Mauritania	2	3	3	3
Gambia	2	3	3	3
Ghana	2	3	3	3
Austria	5	2	2	6
Israel	5	2	2	6
Bangladesh	1	1	3	3
Liechtenstein	4	4	4	4
Germany	0	5	5	0
Denmark	0	5	5	0
Turkey	1	1	1	8
Uzbekistan	1	1	3	3
Monaco	4	4	4	4
Indonesia	3	1	1	1
France	5	2	2	6
Netherlands	0	5	5	0
Myanmar	1	1	3	3
Palestine	3	6	6	5
Canada	0	5	5	0
Maldives	5	0	0	7
Jamaica	1	1	1	1
Bulgaria	1	1	1	8
Switzerland	0	5	5	0
Venezuela	1	1	1	8
Equatorial Guinea	1	1	3	8
Philippines	1	1	1	8
Azerbaijan	1	1	1	8
Portugal	1	1	1	8
Italy	0	5	5	0
Mexico	3	6	6	1
Gabon	1	1	3	8
United States	0	5	5	0
United Kingdom	0	5	5	0
Sao Tome and Principe	1	1	3	8
Belize	3	6	6	5
El Salvador	1	1	1	8
Spain	5	2	2	6
Namibia	1	1	1	8
Belgium	0	5	5	0
Trinidad and Tobago	1	1	1	8
Ireland	0	5	5	0
United Arab Emirates	0	5	5	0
Iceland	5	2	2	6
Guatemala	1	1	1	8
Russia	1	1	1	8
Luxembourg	4	4	4	4
Eswatini	1	1	3	8
Djibouti	1	1	3	8
Guyana	1	1	1	1
Belarus	1	1	1	8
Kosovo	1	1	1	1
Singapore	0	5	5	0
India	1	1	1	8
North Macedonia	3	6	6	1
Kazakhstan	1	1	1	8
Kyrgyzstan	1	1	3	8
Peru	3	6	6	1
Botswana	1	1	1	8
Suriname	1	1	1	8
Honduras	1	1	1	1
Paraguay	3	6	6	1
Sweden	0	5	5	0
Ecuador	3	6	6	1
Dominican Republic	1	1	1	8
South Africa	1	1	1	8
Saudi Arabia	0	5	5	8
Libya	3	6	6	1
Bolivia	1	1	1	8
Greece	1	1	1	1
Kuwait	3	6	6	1
Iraq	1	1	1	8
Armenia	1	1	1	8
Colombia	3	6	6	1
Oman	1	1	1	8
Chile	1	1	1	8
Lebanon	3	6	6	5
Bahamas	1	1	1	8
San Marino	0	5	5	0
Brazil	1	1	1	1
Costa Rica	3	6	6	1
Panama	1	6	1	1
Cape Verde	1	1	1	8
Bahrain	3	6	6	1
Ukraine	3	6	6	1
Jordan	1	1	1	8
Argentina	1	1	1	8
Poland	1	1	1	8
Qatar	0	5	5	0
Georgia	1	1	1	8
